ID;Strassenname;PLZ;Region
339;Fürstenbrunner Weg 14-18;14059;Berlin-Charlottenburg
340;Sophie-Charlotten-Str. 31;14059;Berlin-Charlottenburg
341;Seesener Str. 10-13;10709;Berlin-Wilmersdorf
342;Gervinusstr. 30;10629;Berlin-Charlottenburg
343;Satower Str. 7D;18059;Rostock-Süd
344;Tschaikowskistr. 39;18069;Rostock-Reutershagen
345;Karolinenstr. 1-2;13507;Berlin-Reinickendorf
346;Berliner Str. 49;16515;Oranienburg
347;Hindenburgdamm 94;12203;Berlin-Lichterfelde
348;Wilmersdorfer Str. 126;10627;Berlin-Charlottenburg
349;Rothenburgstr. 38A;12163;Berlin-Steglitz
350;Maxim-Gorki-Str. 66/67;18106;Rostock-Evershagen
351;Lise-Meitner-Str. 6;10589;Berlin-Charlottenburg
352;Backofenweg 4;16540;Hohen Neuendorf
353;Schlossstr. 1;12163;Berlin
354;Birkbuschstr. 54;12167;Berlin-Steglitz
355;Backofenweg 13;16540;Hohen Neuendorf
356;Kaiser-Wilhelm-Str. 6;12247;Berlin-Lankwitz
357;Knesebeckstr. 47/48;10719;Berlin-Charlottenburg
358;Bergstr. 86;12169;Berlin-Steglitz
359;Berliner Str. 26/27;10715;Berlin-Wilmersdorf
360;Wiesbadener Str. 1;16515;Oranienburg
361;Am Fischereihafen 3;18069;Rostock-Reutershagen
362;Hauptstr. 100;16547;Birkenwerder
363;Meinekestr. 22;10719;Berlin-Charlottenburg
364;Doberaner Str. 144;18057;Rostock-Vorstadt
365;Warnowallee 20A;18107;Rostock-Lütten Klein
366;Holzhauser Str. 168;13509;Berlin-Borsigwalde
367;Innsbrucker Platz (im U-Bahnhof);10827;Berlin-Schöneberg
368;Stephan-Jantzen-Ring 50A;18106;Rostock-Schmarl
369;Berliner Str. 141;13467;Berlin-Reinickendorf
370;Waldstr. 14-21;13403;Berlin-Reinickendorf
371;Kaiser-Wilhelm-Str. 127;12247;Berlin-Lankwitz
372;Marienfelder Allee 202;12279;Berlin-Marienfelde
373;Vorarlberger Damm 24/26;12157;Berlin-Schöneberg
374;Ollenhauerstr. 7/ Friedrich-Karl-Str. 1-2;13403;Berlin-Reinickendorf
375;Neubrandenburger Str. 10-11;18055;Rostock-Kassebohm
376;Steglitzer Damm 95;12137;Berlin
377;Steglitzer Damm 95;12169;Berlin-Steglitz
378;Malteserstr. 162;12277;Berlin-Marienfelde
379;Hauptstr. 122;10827;Berlin-Schöneberg
380;Kleiststr. 3-6;10787;Berlin-Schöneberg
381;Schiffbauerring 1;18109;Rostock-Groß Klein
382;Gaffelschoner Weg 15;18055;Rostock-Mitte
383;Potsdamer Str. 203;10783;Berlin-Schöneberg
384;Bahnhofstr. 14;17166;Teterow
385;Quitzowstr. 23;10559;Berlin-Mitte
386;Müllerstr. 48/48A;13349;Berlin-Mitte
387;Roedernallee 49-50;13407;Berlin-Reinickendorf
388;Güstrower Str. 8;18109;Rostock-Lichtenhagen
389;Manteuffelstr. 24-25;12103;Berlin-Tempelhof
390;Großbeerenstr. 2;12107;Berlin-Tempelhof
391;Dudenstr. 90;10965;Berlin-Tempelhof
392;Kreuzbergstr. 40;10965;Berlin-Schöneberg
393;Ullsteinstr. 135;12109;Berlin
