JAHR;RS;GEBIET;EINK_JE_EINW;ANTEIL_ARBEITSLOSE;ANTEIL_ARBEITSLOSE_ALTER_15_24;ANTEIL_ARBEITSLOSE_ALTER_55_64;ANTEIL_LANGZEITARBEITSLOSE;ANTEIL_ARBEITSLOSE_AUSLAENDER;ANZAHL_BEANTR_VERFAHREN;ANZAHL_EROEFFNETE_VERFAHREN;ANZAHL_ABGEW_VERFAHREN;ANZAHL_BEANTR_VERFAHREN_MIT_SCHULDPLAN;ANZAHL_BESCHAEFTIGTE;FORDERUNGEN_TSD_EURO;ANTEIL_SIEDLUNG_VERKEHR;ANTEIL_ERHOLUNGSFLAECHE;ANTEIL_LANDWIRTSCHAFTSFLAECHE;ANTEIL_WALDFLAECHE
2015;010620000000;Stormarn, Landkreis;24844.0;3.8;9.1;21.9;30.5;16.5;329.0;305.0;21.0;3.0;205.0;44182.0;17.4;1.6;66.2;13.7
2010;020000000000;Hamburg;22109.0;8.2;8.8;12.1;28.8;23.8;4530.0;4344.0;170.0;16.0;3765.0;1074697.0;59.7;7.6;24.7;6.2
2011;020000000000;Hamburg;22695.0;7.8;7.4;14.0;28.4;24.5;4503.0;4295.0;198.0;10.0;2731.0;917993.0;59.7;7.7;24.5;6.4
2012;020000000000;Hamburg;22970.0;7.5;7.4;14.4;30.6;24.9;4188.0;3959.0;222.0;7.0;4100.0;2826901.0;59.8;7.8;24.6;6.3
2013;020000000000;Hamburg;23142.0;7.4;7.6;14.7;31.1;25.4;4220.0;3980.0;229.0;11.0;19865.0;5034752.0;60.0;7.8;24.6;6.4
2014;020000000000;Hamburg;23494.0;7.6;7.7;15.0;31.8;26.5;4091.0;3844.0;233.0;14.0;5159.0;3843818.0;59.8;7.8;24.5;6.8
2015;020000000000;Hamburg;23862.0;7.4;7.3;15.8;31.6;28.1;3835.0;3595.0;217.0;23.0;5370.0;1669729.0;59.3;7.4;24.4;7.5
2010;030000000000;Niedersachsen;18477.0;7.5;10.2;15.1;35.0;12.7;20600.0;19250.0;1165.0;185.0;13315.0;2844293.0;13.6;0.9;60.1;21.7
2011;030000000000;Niedersachsen;19067.0;6.9;9.8;16.9;31.6;13.2;19686.0;18405.0;1085.0;196.0;11410.0;2480141.0;13.7;0.9;60.2;21.8
2012;030000000000;Niedersachsen;19628.0;6.6;10.0;17.7;35.2;13.7;18556.0;17385.0;994.0;177.0;12965.0;4058183.0;13.8;1.0;60.0;21.9
2013;030000000000;Niedersachsen;20020.0;6.6;10.2;18.3;35.2;14.4;17863.0;16611.0;1014.0;238.0;13476.0;2830044.0;13.8;1.0;60.0;22.0
