JAHR;RS;GEBIET;EINK_JE_EINW;ANTEIL_ARBEITSLOSE;ANTEIL_ARBEITSLOSE_ALTER_15_24;ANTEIL_ARBEITSLOSE_ALTER_55_64;ANTEIL_LANGZEITARBEITSLOSE;ANTEIL_ARBEITSLOSE_AUSLAENDER;ANZAHL_BEANTR_VERFAHREN;ANZAHL_EROEFFNETE_VERFAHREN;ANZAHL_ABGEW_VERFAHREN;ANZAHL_BEANTR_VERFAHREN_MIT_SCHULDPLAN;ANZAHL_BESCHAEFTIGTE;FORDERUNGEN_TSD_EURO;ANTEIL_SIEDLUNG_VERKEHR;ANTEIL_ERHOLUNGSFLAECHE;ANTEIL_LANDWIRTSCHAFTSFLAECHE;ANTEIL_WALDFLAECHE
2010;064370000000;Odenwaldkreis;18526.0;5.9;12.3;17.8;48.3;20.2;305;297;8;0;34;28034;10.4;0.4;32.6;56.1
2010;064380000000;Offenbach, Landkreis;21523.0;6.4;9.0;19.2;40.2;32.8;808;717;90;1;144;136738;28.8;1.9;24.0;44.4
2010;064390000000;Rheingau-Taunus-Kreis;21707.0;4.6;8.5;20.3;45.5;20.8;260;249;10;1;171;66317;13.1;1.0;29.0;55.7
2010;064400000000;Wetteraukreis;20423.0;5.4;11.4;17.2;31.2;19.3;528;484;36;8;311;76227;15.2;0.8;53.5;29.3
2010;065000000000;Gießen, Regierungsbezirk;18803.0;;10.8;15.3;37.4;16.9;1790;1597;107;86;1237;284685;14.5;0.7;43.8;39.9
2010;065310000000;Gießen, Landkreis;18645.0;7.6;9.6;14.5;44.1;17.3;376;290;26;60;588;95230;17.9;1.1;45.1;35.1
2010;065320000000;Lahn-Dill-Kreis;19851.0;6.9;11.8;15.7;36.4;19.2;572;546;26;0;241;74271;16.5;0.8;34.2;47.4
2010;065330000000;Limburg-Weilburg, Landkreis;19049.0;6.0;11.6;13.3;31.0;20.8;238;213;24;1;62;46799;17.1;0.9;46.0;34.4
2010;065340000000;Marburg-Biedenkopf, Landkreis;17989.0;5.6;11.7;15.3;35.7;15.5;427;398;19;10;230;46624;13.8;0.6;43.6;40.9
2010;065350000000;Vogelsbergkreis;18143.0;6.3;9.1;19.1;34.7;7.5;177;150;12;15;116;21761;10.2;0.4;49.1;39.0
2010;066000000000;Kassel, Regierungsbezirk;18651.0;;10.8;18.0;35.2;13.0;2505;2369;92;44;1698;371994;12.7;0.7;44.6;40.4
