AGS_BUND;BUNDESLAND;AGS;GEMEINDE;BEV_INGESAMT;BEV_MAENNLICH;BEV_WEIBLICH;;;;;;
1;Schleswig-Holstein;1053095;Niendorf/ Stecknitz;647;323;324;;;;;;
1;Schleswig-Holstein;1053096;Nusse; 1 084;529;555;;;;;;
1;Schleswig-Holstein;1053097;Panten;637;320;317;;;;;;
1;Schleswig-Holstein;1053098;Pogeez;381;199;182;;;;;;
1;Schleswig-Holstein;1053099;Poggensee;341;158;183;;;;;;
1;Schleswig-Holstein;1053100;Ratzeburg, Stadt; 13 613; 6 337; 7 276;;;;;;
1;Schleswig-Holstein;1053101;Ritzerau;274;136;138;;;;;;
1;Schleswig-Holstein;1053102;Römnitz;54;26;28;;;;;;
1;Schleswig-Holstein;1053103;Rondeshagen;832;408;424;;;;;;
1;Schleswig-Holstein;1053104;Roseburg;504;253;251;;;;;;
1;Schleswig-Holstein;1053106;Sahms;372;183;189;;;;;;
1;Schleswig-Holstein;1053107;Salem;598;297;301;;;;;;
1;Schleswig-Holstein;1053108;Sandesneben; 1 699;849;850;;;;;;
1;Schleswig-Holstein;1053109;Schiphorst;608;299;309;;;;;;
1;Schleswig-Holstein;1053110;Schmilau;544;270;274;;;;;;
1;Schleswig-Holstein;1053111;Schnakenbek;833;394;439;;;;;;
1;Schleswig-Holstein;1053112;Schönberg; 1 382;694;688;;;;;;
1;Schleswig-Holstein;1053113;Schretstaken;485;242;243;;;;;;
1;Schleswig-Holstein;1053114;Schürensöhlen;150;74;76;;;;;;
1;Schleswig-Holstein;1053115;Schulendorf;459;240;219;;;;;;
1;Schleswig-Holstein;1053116;Schwarzenbek, Stadt; 14 978; 7 280; 7 698;;;;;;
1;Schleswig-Holstein;1053117;Seedorf;542;271;271;;;;;;
1;Schleswig-Holstein;1053118;Siebenbäumen;645;332;313;;;;;;
1;Schleswig-Holstein;1053119;Siebeneichen;266;133;133;;;;;;
1;Schleswig-Holstein;1053120;Sierksrade;352;180;172;;;;;;
1;Schleswig-Holstein;1053121;Sirksfelde;318;172;146;;;;;;
1;Schleswig-Holstein;1053122;Steinhorst;567;290;277;;;;;;
1;Schleswig-Holstein;1053123;Sterley;947;467;480;;;;;;
1;Schleswig-Holstein;1053124;Stubben;393;183;210;;;;;;
1;Schleswig-Holstein;1053125;Talkau;517;258;259;;;;;;
1;Schleswig-Holstein;1053126;Tramm;337;164;173;;;;;;
1;Schleswig-Holstein;1053127;Walksfelde;181;93;88;;;;;;
1;Schleswig-Holstein;1053128;Wangelau;231;113;118;;;;;;
1;Schleswig-Holstein;1053129;Wentorf bei Hamburg; 11 833; 5 662; 6 171;;;;;;
1;Schleswig-Holstein;1053130;Wentorf (Amt Sandesneben);688;344;344;;;;;;
1;Schleswig-Holstein;1053131;Wiershop;164;81;83;;;;;;
1;Schleswig-Holstein;1053132;Witzeeze;895;406;489;;;;;;
1;Schleswig-Holstein;1053133;Wohltorf; 2 420; 1 179; 1 241;;;;;;
1;Schleswig-Holstein;1053134;Woltersdorf;293;150;143;;;;;;
1;Schleswig-Holstein;1053135;Worth;166;81;85;;;;;;
1;Schleswig-Holstein;1053136;Ziethen;997;483;514;;;;;;
1;Schleswig-Holstein;1054001;Achtrup; 1 513;786;727;;;;;;
1;Schleswig-Holstein;1054002;Ahrenshöft;505;250;255;;;;;;
1;Schleswig-Holstein;1054003;Ahrenviöl;518;270;248;;;;;;
1;Schleswig-Holstein;1054004;Ahrenviölfeld;250;117;133;;;;;;
1;Schleswig-Holstein;1054005;Alkersum;428;202;226;;;;;;
1;Schleswig-Holstein;1054006;Almdorf;555;297;258;;;;;;
1;Schleswig-Holstein;1054007;Arlewatt;331;182;149;;;;;;
1;Schleswig-Holstein;1054009;Aventoft;466;223;243;;;;;;
1;Schleswig-Holstein;1054010;Bargum;608;306;302;;;;;;
1;Schleswig-Holstein;1054011;Behrendorf;561;297;264;;;;;;
1;Schleswig-Holstein;1054012;Bohmstedt;733;357;376;;;;;;
1;Schleswig-Holstein;1054013;Bondelum;206;109;97;;;;;;
1;Schleswig-Holstein;1054014;Bordelum; 2 023; 1 037;986;;;;;;
1;Schleswig-Holstein;1054015;Borgsum;341;169;172;;;;;;
1;Schleswig-Holstein;1054016;Bosbüll;215;106;109;;;;;;
1;Schleswig-Holstein;1054017;Braderup;661;333;328;;;;;;
1;Schleswig-Holstein;1054018;Bramstedtlund;192;97;95;;;;;;
1;Schleswig-Holstein;1054019;Bredstedt, Stadt; 5 065; 2 432; 2 633;;;;;;
1;Schleswig-Holstein;1054020;Breklum; 2 359; 1 160; 1 199;;;;;;
1;Schleswig-Holstein;1054022;Dagebüll;917;447;470;;;;;;
1;Schleswig-Holstein;1054023;Drage;622;275;347;;;;;;
1;Schleswig-Holstein;1054024;Drelsdorf; 1 253;644;609;;;;;;
1;Schleswig-Holstein;1054025;Dunsum;67;31;36;;;;;;
1;Schleswig-Holstein;1054026;Elisabeth-Sophien-Koog;40;22;18;;;;;;
1;Schleswig-Holstein;1054027;Ellhöft;111;62;49;;;;;;
1;Schleswig-Holstein;1054032;Fresendelf;97;59;38;;;;;;
1;Schleswig-Holstein;1054033;Friedrichstadt, Stadt; 2 558; 1 218; 1 340;;;;;;
1;Schleswig-Holstein;1054034;Friedrich-Wilhelm-Lübke-Koog;185;95;90;;;;;;
1;Schleswig-Holstein;1054035;Garding, Kirchspiel;397;191;206;;;;;;
1;Schleswig-Holstein;1054036;Garding, Stadt; 2 472; 1 152; 1 320;;;;;;
1;Schleswig-Holstein;1054037;Goldebek;351;173;178;;;;;;
1;Schleswig-Holstein;1054038;Goldelund;403;200;203;;;;;;
1;Schleswig-Holstein;1054039;Gröde;11;6;5;;;;;;
1;Schleswig-Holstein;1054040;Grothusenkoog;23;9;14;;;;;;
1;Schleswig-Holstein;1054041;Haselund;905;467;438;;;;;;
1;Schleswig-Holstein;1054042;Hattstedt; 2 565; 1 254; 1 311;;;;;;
1;Schleswig-Holstein;1054043;Hattstedtermarsch;304;164;140;;;;;;
1;Schleswig-Holstein;1054045;Högel;461;223;238;;;;;;
1;Schleswig-Holstein;1054046;Hörnum (Sylt);882;445;437;;;;;;
1;Schleswig-Holstein;1054048;Holm;78;37;41;;;;;;
1;Schleswig-Holstein;1054050;Hallig Hooge;106;51;55;;;;;;
1;Schleswig-Holstein;1054052;Horstedt;721;368;353;;;;;;
1;Schleswig-Holstein;1054054;Hude;194;104;90;;;;;;
1;Schleswig-Holstein;1054055;Humptrup;717;362;355;;;;;;
1;Schleswig-Holstein;1054056;Husum, Stadt; 22 135; 10 460; 11 675;;;;;;
